Block_Group,Population
40131042034,1272
40131042035,1685
40131042041,1413
40131042042,1817
40131042051,1188
40131042052,1051
40131042053,1144
40131042054,1773
40131042061,1255
40131042062,1389
40131042063,1169
40131042071,1579
40131042072,1456
40131042073,1205
40131042121,760
40131042122,1786
40131042123,1678
40131042124,1950
40131042141,1205
40131042142,1107
40131042151,631
40131042152,593
40131042153,731
40131042154,626
40131042155,1445
40131042161,1247
40131042162,1093
40131042163,2431
40131042171,1709
40131042172,1654
40131042173,1519
40131042181,1256
40131042182,1098
40131042183,1587
40131042191,1536
40131042192,1446
40131042211,1289
40131042212,1762
40131042213,1072
40131042214,1741
40131042221,1117
40131042222,1742
40131042223,1348
40131042224,1708
40131042231,917
40131042232,940
40131042241,888
40131042242,1840
40131042243,1692
40131042244,1478
40131042251,1301
40131042252,1355
40131042253,1043
40131042261,1067
40131042262,1215
40131042263,706
40131042264,1385
40131042271,1254
40131042272,805
40131043011,1611
40131043012,1689
40131043021,1381
40131043022,1828
40131044011,2400
40131044012,1391
40131044013,1226
40131044021,2538
40131045011,1068
40131045012,1492
40131045013,1137
40131045021,1515
40131045022,1692
40131045023,1900
40131046001,1553
40131046002,1496
40131046003,1204
40131047011,1046
40131047012,762
40131047013,666
40131047021,1023
40131047022,1316
40131047023,1356
40131047024,746
40131048011,2077
40131048012,1542
40131048021,1121
40131048022,1295
40131048023,1583
40131048024,870
40131048025,819
40131049001,1155
40131049002,1149
40131049003,1699
40131050021,788
40131050022,1786
40131050031,2253
40131050032,2296
40131050041,1285
40131050042,805
40131050043,1024
40131051011,1022
40131051012,1846
40131051013,1549
40131051021,806
40131051022,1472
40131051023,1118
40131051024,769
40131051031,718
40131051032,792
40131051033,1507
40131052001,998
40131052002,1503
40131052003,1560
40131052004,1758
40131053001,1599
40131053002,1965
40131053003,1431
40131054001,1206
40131054002,1127
40131054003,1270
40131055011,1280
40131055012,1075
40131055021,1003
40131055022,888
40131055031,414
40131055032,1145
40131055033,1720
40131056011,2048
40131056012,1743
40131056021,1156
40131056022,2804
40131056023,1983
40131057011,1740
40131057012,1686
40131057021,1958
40131057022,1817
40131058001,1420
40131058002,1719
40131058003,1637
40131058004,1522
40131059001,1568
40131059002,1717
40131059003,1671
40131060011,1671
40131060021,1449
40131060022,799
40131060031,1624
40131060032,1551
40131061001,1111
40131061002,1003
40131061003,1280
40131061004,858
40131061005,1030
40131062001,1670
40131062002,1615
40131063001,1158
40131063002,1295
40131063003,1381
40131063004,1259
40131064001,1229
40131064002,1503
40131065011,1526
40131065012,1351
40131065021,1130
40131065022,1290
40131065023,1122
40131066001,1898
40131066002,1709
40131067011,1563
40131067012,1228
40131067013,1170
40131067021,1213
40131067031,960
40131067032,1069
40131068011,1440
40131068012,1613
40131068013,888
40131068021,1270
40131068022,1157
40131068023,821
40131069001,1385
40131069002,1891
40131069003,1576
40131069004,2225
40131070001,1715
40131070002,1874
40131070003,2058
40131070004,1476
40131071011,1806
40131071012,2456
40131071021,1448
40131071022,1616
40131071023,2133
40131072011,1975
40131072012,2326
40131072021,2542
40131072022,2386
40131073001,1931
40131073002,1307
40131073003,1163
40131073004,1801
40131074001,1111
40131074002,950
40131074003,881
40131074004,1132
40131074005,437
40131074006,2061
40131075001,810
40131075002,1193
40131075003,1334
40131076011,586
40131076012,878
40131076013,1336
40131076021,1079
40131076022,1601
40131077001,957
40131077002,727
40131077003,569
40131077004,809
40131077005,735
40131078001,769
40131078002,1639
40131079001,972
40131079002,1586
40131079003,1143
40131080001,1445
40131080002,2022
40131081001,1850
40131082001,780
40131082002,1107
40131082003,1271
40131083011,1042
40131083012,1114
40131083013,1249
40131083021,1336
40131083022,1364
40131084001,413
40131084002,861
40131084003,1019
40131084004,1467
40131084005,1128
40131085011,1219
40131085012,1031
40131085021,841
40131085022,858
40131085023,1220
40131085024,610
40131086011,1461
40131086012,1218
40131086021,1131
40131086022,1496
40131086023,679
40131086024,1224
40131088021,1346
40131088022,473
40131089011,848
40131089012,811
40131089013,849
40131089021,892
40131089022,1229
40131089023,772
40131089024,965
40131090011,1586
40131090012,2560
40131090021,1357
40131090022,2470
40131090023,736
40131090031,1778
40131090032,1320
40131090033,1523
40131090034,853
40131091011,1576
40131091012,1707
40131091021,1490
40131091022,2570
40131091023,1239
40131092001,1270
40131092002,1752
40131092003,1074
40131093001,1770
40131093002,1973
40131093003,927
40131094001,1557
40131094002,1560
40131094003,1584
40131094004,2255
40131094005,1334
40131095001,1768
40131095002,1357
40131095003,1742
40131096011,2131
40131096012,1035
40131096013,1557
40131096021,1708
40131096022,2143
40131096023,1868
40131096031,1233
40131096032,1208
40131096033,973
40131096034,1036
40131096041,1080
40131096042,2734
40131097011,969
40131097012,2058
40131097013,2140
40131097014,2300
40131097021,2319
40131097022,1663
40131097023,1071
40131097031,1404
40131097032,1338
40131097041,1457
40131097042,903
40131097051,823
40131097052,980
40131098011,1859
40131098012,1899
40131098021,1943
40131098022,1566
40131098023,1037
40131099001,1477
40131099002,2344
40131099003,2276
40131099004,983
40131100011,2290
40131100012,2239
40131100021,1929
40131100022,2410
40131101001,1421
40131101002,1456
40131101003,2354
40131101004,1381
40131104001,1475
40131104002,900
40131104003,1586
40131104004,1164
40131105011,472
40131105012,1756
40131105013,671
40131105021,1214
40131105022,1105
40131106001,868
40131106002,1516
40131106003,929
40131106004,1568
40131107011,1055
40131107012,1515
40131107021,2012
40131107022,1821
40131108011,2159
40131108012,1715
40131108013,1132
40131108021,1075
40131108022,1240
40131109011,994
40131109012,2081
40131109021,2349
40131109022,1955
40131110001,824
40131110002,1138
40131110003,1071
40131110004,716
40131110005,996
40131111001,1394
40131111002,1231
40131111003,1751
40131112011,1020
40131112012,1228
40131112013,1901
40131112014,1093
40131112021,1964
40131112031,1410
40131112041,2154
40131113001,857
40131113002,1017
40131113003,1273
40131113004,1249
40131113005,1051
40131114011,1960
40131114012,2350
40131114021,2014
40131114022,2136
40131115011,2115
40131115021,1625
40131115022,2072
40131115023,1337
40131115024,1490
40131116011,1475
40131116012,1686
40131116021,853
40131116022,2237
40131116023,1965
40131117001,1703
40131117002,1491
40131117003,1293
40131117004,1160
40131118001,669
40131118002,933
40131118003,1247
40131118004,638
40131119001,709
40131119002,764
40131119003,765
40131121001,1065
40131121002,1835
40131121003,938
40131122011,2176
40131122012,2224
40131122021,1103
40131122022,1407
40131122023,1795
40131123011,1545
40131123012,1826
40131123013,1646
40131123021,1212
40131123022,1478
40131123023,1113
40131123024,1559
40131123025,1392
40131124011,1544
40131124012,2495
40131124013,1338
40131124021,2343
40131124022,1343
40131124023,1313
