FIPS,land_area
320030035002,615052
320030036071,1770373
320030036072,386777
320030036073,386630
320030036091,713188
320030036092,679351
320030036093,633300
320030036094,643270
320030036101,690419
320030036102,660729
320030036103,675566
320030036104,678270
320030036121,687936
320030036122,1311964
320030036123,727372
320030036131,650364
320030036132,1304664
320030036133,649164
320030036151,686709
320030036152,1882202
320030036161,7411785
320030036162,327020
320030036163,429846
320030036164,551143
320030036171,1339424
320030036181,4329476
320030036182,1502853
320030036191,1720017
320030036201,1073473
320030036202,1230478
320030036211,2053741
320030036221,3535961
320030036222,2497556
320030036231,26462517
320030036241,663365
320030036242,667499
320030036243,1324040
320030036251,1925590
320030036252,642349
320030036261,7573791
320030036262,468397
320030036271,674946
320030036272,891606
320030036281,23929383
320030036282,1659605
320030036291,1211425
320030036292,1213174
320030036301,1345112
320030036302,668137
320030036303,676971
320030036311,654566
320030036312,656984
320030036321,675478
320030036322,656848
320030036331,1337682
320030036341,462265
320030036342,381645
320030036343,514868
320030036351,470056
320030036352,559023
320030036353,173127
320030036354,321849
320030036361,543968
320030036362,567119
320030036371,1018179
320030036372,338009
320030036381,1389127
320030036391,726415
320030036392,665999
320030036401,2705497
320030036402,1348248
320030036411,1353122
320030036412,1394106
320030036421,2617274
320030036431,644196
320030036432,653193
320030036441,649649
320030036442,648161
320030037001,1654712
320030037002,2899716
320030038001,382873
320030038002,206790
320030038003,458817
320030038004,287614
320030038005,893640
320030040001,739096
320030040002,358061
320030041001,314390
320030041002,372797
320030041003,316884
320030041004,342374
320030042001,248231
320030042002,449528
320030042003,158851
320030042004,356525
320030042005,176182
320030043011,194158
320030043012,166390
320030043021,360125
320030043022,160855
320030043023,117373
320030043024,199721
320030044011,249218
320030044012,185982
320030044013,209465
320030044021,306796
320030044022,324754
320030044023,151991
320030045001,434445
320030045002,217757
320030045003,366589
320030045004,338482
320030046011,685048
320030046012,628131
320030046013,395008
320030046021,1965437
320030046022,472128
320030047031,1101444
320030047032,640161
320030047071,335468
320030047072,1023600
320030047091,166063
320030047092,322853
320030047093,332256
320030047094,324228
320030047095,161781
320030047101,468067
320030047102,657994
320030047103,220168
320030047121,124056
320030047122,529875
320030047123,170487
320030047124,337347
320030047125,151973
320030047126,985771
320030047131,164346
320030047132,1147239
320030047133,308436
320030047134,167920
320030047141,717254
320030047142,671047
320030047151,705153
320030047152,719620
320030047161,341978
320030047162,571217
320030047171,498085
320030047172,816040
320030049071,1404446
320030049072,1366338
320030049101,262399
320030049102,344086
320030049111,416627
320030049112,616541
320030049121,364086
320030049122,573301
320030049123,453723
320030049141,676645
320030049142,658831
